IRI Week,Calendar week starting on,Calendar week ending on,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,Halloween,Halloween_1,Thanksgiving,Thanksgiving_1,Christmas,Christmas_1,NewYear,President,President_1,Easter,Easter_1,Memorial,Memorial_1,4thJuly,4thJuly_1,Labour,Labour_1
1329,14-Feb-05,20-Feb-05,,1,,,,,,,,,,,0,,,,,,,1,,,,,,,,,
1330,21-Feb-05,27-Feb-05,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1331,28-Feb-05,6-Mar-05,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1332,7-Mar-05,13-Mar-05,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1333,14-Mar-05,20-Mar-05,,,1,,,,,,,,,,0,,,,,,,,,,1,,,,,,
1334,21-Mar-05,27-Mar-05,,,1,,,,,,,,,,0,,,,,,,,,1,,,,,,,
1335,28-Mar-05,3-Apr-05,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1336,4-Apr-05,10-Apr-05,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1337,11-Apr-05,17-Apr-05,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1338,18-Apr-05,24-Apr-05,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1339,25-Apr-05,1-May-05,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1340,2-May-05,8-May-05,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1341,9-May-05,15-May-05,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1342,16-May-05,22-May-05,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1343,23-May-05,29-May-05,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1344,30-May-05,5-Jun-05,,,,,,1,,,,,,,0,,,,,,,,,,,,1,,,,
1345,6-Jun-05,12-Jun-05,,,,,,1,,,,,,,0,,,,,,,,,,,1,,,,,
1346,13-Jun-05,19-Jun-05,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1347,20-Jun-05,26-Jun-05,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1348,27-Jun-05,3-Jul-05,,,,,,1,,,,,,,0,,,,,,,,,,,,,,1,,
1349,4-Jul-05,10-Jul-05,,,,,,,1,,,,,,0,,,,,,,,,,,,,1,,,
1350,11-Jul-05,17-Jul-05,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1351,18-Jul-05,24-Jul-05,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1352,25-Jul-05,31-Jul-05,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1353,1-Aug-05,7-Aug-05,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1354,8-Aug-05,14-Aug-05,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1355,15-Aug-05,21-Aug-05,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1356,22-Aug-05,28-Aug-05,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1357,29-Aug-05,4-Sep-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,1
1358,5-Sep-05,11-Sep-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,1,
1359,12-Sep-05,18-Sep-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1360,19-Sep-05,25-Sep-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1361,26-Sep-05,2-Oct-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1362,3-Oct-05,9-Oct-05,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1363,10-Oct-05,16-Oct-05,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1364,17-Oct-05,23-Oct-05,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1365,24-Oct-05,30-Oct-05,,,,,,,,,,1,,,0,1,,,,,,,,,,,,,,,
1366,31-Oct-05,6-Nov-05,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
1367,7-Nov-05,13-Nov-05,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1368,14-Nov-05,20-Nov-05,,,,,,,,,,,1,,0,,,1,,,,,,,,,,,,,
1369,21-Nov-05,27-Nov-05,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,
1370,28-Nov-05,4-Dec-05,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1371,5-Dec-05,11-Dec-05,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1372,12-Dec-05,18-Dec-05,,,,,,,,,,,,1,0,,,,,1,,,,,,,,,,,
1373,19-Dec-05,25-Dec-05,,,,,,,,,,,,1,0,,,,1,,,,,,,,,,,,
1374,26-Dec-05,1-Jan-06,,,,,,,,,,,,1,0,,,,,,1,,,,,,,,,,
1375,2-Jan-06,8-Jan-06,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1376,9-Jan-06,15-Jan-06,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
